sample_id,preferred_resolution,resolution,tumor_id,pm,g1,g1_s,s,s_g2,g2,g2_m,hsp,hypoxia,other,s_star
SRR13884242,1,SCT_snn_res.0.8,SRR13884242,7,1_4_9,10_2,0,,,6,3_8,5,,
SRR13884243,1,SCT_snn_res.1,SRR13884243,,2_4_7,5,,0,,6,3,1,,
SRR13884246,1,SCT_snn_res.0.4,SRR13884246,,0_6,,8_10,4,5,,7,1_3_9_2,,11
SRR13884247,min,SCT_snn_res.0.2,SRR13884247,,0_3_5_6_7_8,,1,,,4,,2,,
SRR13884247,1,SCT_snn_res.0.4,SRR13884247,,0_2_5_6_9_10,,3_8,,,4,,1_7,,
SRR13884247,max,SCT_snn_res.0.6,SRR13884247,,0_1_5_6_7_8_10_12,,2_9,,,4_11,,3,,13
SRR13884248,min,SCT_snn_res.0.6,SRR13884248,,0_1_2_4_7_8_11,3,,,,5,10,6,,9
SRR13884248,1,SCT_snn_res.0.8,SRR13884248,7,0_4_10_13,3_5_9,,,,6,12,8_1_2,,11
SRR13884248,max,SCT_snn_res.1,SRR13884248,,0_1_2_3_5_6_11_14,4,,,,7_10,13,8_9,,12
SRR13884249,min,SCT_snn_res.0.4,SRR13884249,,0_2,,4,,3,,5,1,,6
SRR13884249,1,SCT_snn_res.0.6,SRR13884249,7,0_3,2,,,4_8,5,6,1,,9
SRR13884249,max,SCT_snn_res.0.8,SRR13884249,7,0_3_12,2,1_4,,9_10,5,8,6,,11
SRR14800534,min,SCT_snn_res.0.6,SRR14800534,,4_1,0_6,,3,,5,7,2,9,8
SRR14800534,1,SCT_snn_res.0.8,SRR14800534,9,4_1,0_5,,3,,6,7,2,10,8
SRR14800534,max,SCT_snn_res.1,SRR14800534,11,3_0,1_6_5,,2,,7,9,4_8,12,10
SRR14800535,min,SCT_snn_res.0.6,SRR14800535,0,,1,2,3,,4,6,5,,7
SRR14800535,1,SCT_snn_res.0.8,SRR14800535,1,2,0,5,3,,4,7,6,,8
SRR14800535,max,SCT_snn_res.1,SRR14800535,4,8,0_2_9,6,1,,3,7,5,,10
SRR14800536,min,SCT_snn_res.0.4,SRR14800536,4,2_0,,1,3,,5,,6,,
SRR14800536,1,SCT_snn_res.0.6,SRR14800536,8,0_2_5,,6,3,,4,1,7,9,10
SRR14800536,max,SCT_snn_res.0.8,SRR14800536,,0_2_3_6,,5,1,,7_9,4,8,10,11
SRR14800540,1,SCT_snn_res.0.6,SRR14800540,,0_1_4,,3_6,2,7,5,,8,9,
SRR14800541,1,SCT_snn_res.0.4,SRR14800541,10_11,0_4_5,,2,8_9,,6,7_1,3,,
SRR14800543,1,SCT_snn_res.0.6,SRR14800543,,0_2,,,,4_5,3,6,1,7,
SRR17960481,min,SCT_snn_res.0.4,SRR17960481,,0_4,,2,,,3,,1,,
SRR17960481,1,SCT_snn_res.0.6,SRR17960481,4,0_1,6,2,,,3,,5,,
SRR17960481,max,SCT_snn_res.0.8,SRR17960481,6,0_4_5,6,2,,,3,7,1,,
SRR17960484,min,SCT_snn_res.0.4,SRR17960484,,0_2_3,,,4_5_6,7,,1,,,
SRR17960484,1,SCT_snn_res.0.6,SRR17960484,,0_2_3,,,4_5_9,7,6_8_10,1,,,
SRR17960484,max,SCT_snn_res.0.8,SRR17960484,6,1_2_4_10_11,,,3_5_8,,7_12_13,0,,,9
SRR27187899,min,SCT_snn_res.0.1,SRR27187899,,0_1,2,3,,5,,,,4,
SRR27187899,1,SCT_snn_res.0.2,SRR27187899,,0_1,4,2,3,5,,,,6,
SRR27187899,max,SCT_snn_res.0.4,SRR27187899,,0_1_3_7_2,4,5,6,8_9,,,,10_11,
SRR27187902,1,SCT_snn_res.0.2,SRR27187902,,0,,1,2,3,4,,5,6,